delta,N,lambda1
0.6,8,0.2532902672586381
0.6,10,0.21492039894587478
0.6,12,0.18806559500032002
0.6,14,0.16819672385675027
0.6,16,0.1528750025445409
0.6,18,0.14067670248728148
0.6,20,0.13071659788837375
0.7,8,0.2400259860626594
0.7,10,0.20118125383740354
0.7,12,0.17408157332808544
0.7,14,0.15410567301377448
0.7,16,0.1387624543455142
0.7,18,0.12659694917024397
0.7,20,0.11670453136014494
0.8,8,0.23050938126799997
0.8,10,0.19115121495343654
0.8,12,0.16373505927233659
0.8,14,0.1435688542147248
0.8,16,0.1281188678998315
0.8,18,0.11590331789157923
0.8,20,0.10600010780827646
0.9,8,0.2247674351430135
0.9,10,0.1849842071251523
0.9,12,0.15727576543992722
0.9,14,0.13690731812274454
0.9,16,0.12131799257457289
0.9,18,0.10900812738397132
0.9,20,0.09904347708221581
0.95,8,0.22332517402167135
0.95,10,0.18341023062267375
0.95,12,0.1556050406316466
0.95,14,0.13516453958125135
0.95,16,0.1195210698520432
0.95,18,0.1071703469616798
0.95,20,0.0971748874310681
1.0,8,0.22284317912887275
1.0,10,0.1828792093022784
1.0,12,0.15503678493418072
1.0,14,0.1345675569447391
1.0,16,0.11890165249538308
1.0,18,0.10653325061267069
1.0,20,0.09652377439978077
