model,N,pbc,E0,lambda1,lambda2,gap,S_half
xxz,6,True,-11.211102550927977,0.8604791014326232,0.860479101432624,7.771561172376096e-16,0.95900637608909
xxz,8,True,-14.604373635748711,0.6799405824380375,0.6799405824380433,5.88418203051333e-15,1.0511658766146703
xxz,10,True,-18.061785417968178,0.5663185757983376,0.5663185757983524,1.4876988529977098e-14,1.1241023052731078
xxz,12,True,-21.549563669780827,0.4876173777731542,0.4876173778610733,8.791906092042723e-11,1.1842237417981825
xxz,14,True,-25.054198134188166,0.429591133257811,0.42959113326311255,5.3015369871900475e-12,1.2352922412094716
xxz,16,True,-28.569185442467152,0.3848773879110167,0.38487738792339793,1.2381207170619746e-11,1.2796494538748038
xxz,18,True,-32.09099634813509,0.3492691790560281,0.3492691790608131,4.7850057249831934e-12,1.3188414406784332
xxz,20,True,-35.61754611950582,0.32018007097154166,0.32018007098712437,1.558270179558008e-11,1.353938694458729
tfim,6,True,-7.727406610315145,1.1027748599666816,1.102774859966798,1.163513729807164e-13,0.5877379107493366
tfim,8,True,-10.251661790969269,1.009040867825281,1.0090408678286733,3.3923974740446283e-12,0.6350956654735733
tfim,10,True,-12.784906443003146,0.9522158789054894,0.9522158789058205,3.310685059432217e-13,0.6720147573783958
tfim,12,True,-15.322595151085173,0.9136168094472944,0.9136168094477737,4.792832797306801e-13,0.7022545114350724
tfim,14,True,-17.862808540765982,0.8854734377935176,0.8854734377940927,5.750955267558311e-13,0.7278576537207031
tfim,16,True,-20.40459447476212,0.8639293362000376,0.863929336200895,8.573142196155459e-13,0.7500553971756216
tfim,18,True,-22.94742649134574,0.8468383531047836,0.8468383531057254,9.418021917895203e-13,0.7696465073962999
tfim,20,True,-25.490989686371186,0.8329051753017384,0.8329051753029131,1.1747269823558781e-12,0.7871784228816927
