N,t,lambda1,lambda2,gap,alpha
6,0.2,0.4743667581775725,0.8058229773132162,0.33145621913564366,1.245397872980152
6,0.29000000000000004,0.47436675817757223,0.8058229773132157,0.3314562191356435,1.245397872980152
6,0.38,0.4743667581775738,0.8058229773132165,0.3314562191356427,1.2453978729801487
6,0.47000000000000003,0.47436675817757223,0.8058229773132161,0.3314562191356438,1.2453978729801525
6,0.56,0.47436675817757257,0.8058229773132163,0.3314562191356437,1.2453978729801523
6,0.6499999999999999,0.4743667581775728,0.8058229773132156,0.3314562191356428,1.2453978729801511
6,0.74,0.4743667581775751,0.8058229773132171,0.33145621913564194,1.2453978729801474
6,0.8300000000000001,0.4743667581775739,0.8058229773132166,0.3314562191356427,1.245397872980149
6,0.9199999999999999,0.4743667581775752,0.8058229773132181,0.3314562191356429,1.2453978729801474
6,1.01,0.47436675817756985,0.8058229773132153,0.33145621913564544,1.2453978729801582
6,1.0999999999999999,0.474366758177572,0.8058229773132157,0.3314562191356437,1.245397872980153
6,1.19,0.47436675817757223,0.8058229773132154,0.33145621913564316,1.2453978729801527
6,1.28,0.4743667581775737,0.8058229773132164,0.3314562191356427,1.2453978729801505
6,1.3699999999999999,0.4743667581775725,0.805822977313216,0.33145621913564344,1.2453978729801527
6,1.46,0.47436675817757573,0.8058229773132178,0.3314562191356421,1.245397872980146
6,1.5499999999999998,0.47436675817757246,0.8058229773132162,0.3314562191356437,1.245397872980153
6,1.64,0.47436675817757584,0.8058229773132183,0.33145621913564244,1.2453978729801436
6,1.73,0.47436675817757096,0.8058229773132151,0.3314562191356441,1.2453978729801547
6,1.8199999999999998,0.47436675817757457,0.8058229773132171,0.3314562191356425,1.2453978729801474
6,1.91,0.47436675817757185,0.8058229773132157,0.3314562191356439,1.2453978729801525
6,2.0,0.47436675817757584,0.8058229773132178,0.331456219135642,1.2453978729801451
