N,J_strength,lambda1,lambda2,gap,alpha
8,0.0,1.0,1.0,0.0,nan
8,0.05,1.0,1.0,0.0,nan
8,0.1,1.0,1.0,0.0,nan
8,0.15000000000000002,1.0,1.0,0.0,nan
8,0.2,1.0,1.0,0.0,nan
8,0.25,1.0,1.0,0.0,nan
8,0.30000000000000004,1.0,1.0,0.0,nan
8,0.35000000000000003,1.0,1.0,0.0,nan
8,0.4,1.0,1.0,0.0,nan
8,0.45,1.0,1.0,0.0,nan
8,0.5,1.0,1.0,0.0,nan
8,0.55,1.0,1.0,0.0,nan
8,0.6000000000000001,1.0,1.0,0.0,nan
8,0.65,1.0,1.0,0.0,nan
8,0.7000000000000001,1.0,1.0,0.0,nan
8,0.75,1.0,1.0,0.0,nan
8,0.8,1.0,1.0,0.0,nan
8,0.8500000000000001,1.0,1.0,0.0,nan
8,0.9,1.0,1.0,0.0,nan
8,0.9500000000000001,1.0,1.0,0.0,nan
8,1.0,1.0,1.0,0.0,nan
