N,delta,lambda1,lambda2,gap,alpha
10,0.0,0.37342587696337937,0.6363307483594374,0.262904871396058,1.2736954095878201
10,0.1,0.3376998251984744,0.5946518330631568,0.2569520078646824,1.365971791459782
10,0.2,0.30582853913484653,0.5563638817175833,0.2505353425827368,1.455086547027091
10,0.30000000000000004,0.277689408789088,0.5217819751351473,0.24409256634605936,1.5406562889443154
10,0.4,0.2531890189677921,0.49117472182157274,0.23798570285378062,1.621908583461027
10,0.5,0.23227004648513683,0.4647760042490594,0.23250595776392258,1.697582063434478
10,0.6000000000000001,0.21492039894589698,0.4427958453487777,0.2278754464028807,1.7658304330701722
10,0.7000000000000001,0.2011812538374007,0.4254276380898401,0.22424638425243937,1.8241809398603552
10,0.8,0.1911512149534298,0.41284948652173714,0.22169827156830735,1.8696254926013671
10,0.9,0.18498420712515307,0.4052182264162876,0.2202340192911345,1.8989298598552813
10,1.0,0.18287920930227375,0.4026557887287441,0.21977657942647033,1.9091927923031027
10,1.1,0.1850606721788719,0.40522886605131014,0.22016819387243824,1.8985501626931067
10,1.2000000000000002,0.19174959831340987,0.41292421080708674,0.22117461249367687,1.8667626286709196
10,1.3,0.20312680016600693,0.4256231494208249,0.22249634925481798,1.8154001363540926
10,1.4000000000000001,0.21929168742803218,0.4430798100709492,0.22378812264291703,1.7475253716826291
10,1.5,0.2402217867503682,0.4649078700321536,0.2246860832817854,1.6670462577851077
10,1.6,0.2657395709128838,0.4905800687595583,0.22484049784667448,1.5780314851948465
10,1.7000000000000002,0.2954934296244258,0.5194431343251875,0.2239497047007617,1.4842056917178479
10,1.8,0.32895819738305576,0.5507482100638994,0.22179001268084364,1.3886857203956835
10,1.9000000000000001,0.36545746017349967,0.5836938022471461,0.2182363420736464,1.293910973400083
10,2.0,0.40420551020755546,0.6174755101409198,0.21326999993336437,1.2016886707356833
